channel,first_touch_revenue,last_touch_revenue,linear_revenue,time_decay_revenue,u_shaped_revenue,first_touch_share_pct,last_touch_share_pct,linear_share_pct,time_decay_share_pct,u_shaped_share_pct
Affiliate,0.0,398040,362939.93,360767.17,376164.91,,9.76,8.9,8.84,9.22
Direct,0.0,454080,430304.96,434927.36,445811.0,,11.13,10.55,10.66,10.93
Display Ads,0.0,192120,199526.37,200512.38,188808.85,,4.71,4.89,4.92,4.63
Email,0.0,554520,604384.81,599202.71,569683.5,,13.59,14.82,14.69,13.97
Influencer,0.0,199800,193884.61,193407.96,212699.14,,4.9,4.75,4.74,5.21
Organic Search,0.0,709800,755000.28,746457.0,755630.15,,17.4,18.51,18.3,18.52
Paid Search,0.0,794040,806673.08,794151.22,802389.26,,19.47,19.78,19.47,19.67
Paid Social,0.0,597600,543674.12,571850.81,544291.14,,14.65,13.33,14.02,13.34
Video Ads,0.0,179040,182651.84,177763.38,183562.05,,4.39,4.48,4.36,4.5
